SALES DATA FOR PLANTATION;;;;;;
;STATIONERY;;COPIES;;;
DATE ;CASH;POS;CASH;POS;TOTAL;
2025/04/11;838,05;69;904;100;1911,05;
2025/04/12;876,35;200;553,65;0;1630;
2025/04/14;569,9;27,95;820;422;1839,85;
2025/04/15;1084,2;406,8;46;0;1537;
2025/04/16;615,65;0;533;31;1179,65;
2025/04/17;586,65;30,5;1420;0;2037,15;
2025/04/19;145,35;264;580;0;989,35;
2025/04/22;1094,8;288,25;2100;85;3568,05;
2025/04/23;820,25;200;1080;0;2100,25;
2025/04/24;582,1;0;1540;20;2142,1;
2025/04/25;655,25;0;1150;75;1880,25;
2025/04/26;187,95;0;1020;0;1207,95;
2025/04/28;728,9;285,4;1690;35;2739,3;
2025/04/30;980,95;35;1650;0;2665,95;
2025/05/03;593,1;0;410;0;1003,1;
2025/05/05;1291,6;0;1650;106;3047,6;
2025/05/06;1321,1;462,1;750;295,25;2828,45;
2025/05/07;1475,65;23,45;1550;17,5;3066,6;
2025/05/08;981,5;421;1110;120;2632,5;
2025/05/09;74,3;473;450;461;1458,3;
2025/05/10;955;215,4;825;21;2016,4;
2025/05/12;1361,7;129,8;970;459;2920,5;
2025/05/13;1378,9;740,7;390;667;3176,6;
2025/05/14;1464,35;721,8;1290;1091,5;4567,65;
2025/05/15;2543,25;386,7;900;305;4134,95;
2025/05/16;905;324;660;0;1889;
2025/05/17;1099,85;212,5;1090;0;2402,35;
2025/05/19;916;139,6;1250;250;2555,6;
2025/05/20;1018,7;127,1;1980;29;3154,8;
2025/05/21;1067,2;140;700;271,1;2178,3;
2025/05/22;439,7;1940;1721;703;4803,7;
2025/05/23;1054,65;211,5;850;1167,75;3283,9;
2025/05/24;145,75;0;670;37,75;853,5;
2025/05/26;621,45;44;1430;0;2095,45;
2025/05/27;1080,75;50,75;195;117;1443,5;
2025/05/28;1068,9;66;1020;0;2154,9;
2025/05/29;584,3;0;1650;0;2234,3;
2025/05/30;581,6;0;1350;950;2881,6;
2025/05/31;275,65;0;1160;206,5;1642,15;
2025/06/02;537,3;419;1840;42;2838,3;
2025/06/04;902,6;358;2191;3451,6;6903,2;
2025/06/05;806,1;55;926,3;567,5;2354,9;
2025/06/06;846,05;0;730;0;1576,05;
2025/06/07;267,5;50;690;0;1007,5;
2025/06/09;956,95;0;1210;0;2166,95;
2025/06/10;1630,35;407,5;2190;0;4227,85;
2025/06/11;310,05;114,6;900;128,9;1453,55;
2025/06/12;978,35;221,5;1400;1806;4405,85;
2025/06/13;550;0;1620;0;2170;
2025/06/14;475,85;590;2250;75;3390,85;
2025/06/16;620;719,6;1190;0;2529,6;
2025/06/17;645,75;1221;1370;0;3236,75;
2025/06/18;89,4;1028,5;1830;782,75;3730,65;
2025/06/19;653,55;32;1940;108,5;2734,05;
2025/06/20;731,5;174,5;550;126;1582;
2025/06/21;447,4;95;630;0;1172,4;
